NP_001087.2	A0A024R1T9
NP_001087.2	P53396
NP_001348.2	B3KU66
NP_001348.2	Q08211
NP_004930.1	A3RJH1
NP_004930.1	Q92499
NP_001347.3	O00571
NP_004437.2	P07814
NP_004332.2	P27708
NP_005889.3	Q14444
NP_006310.1	A8K3L7
NP_006310.1	O14735
NP_001244.1	Q99459
NP_004850.1	Q00610
NP_037423.2	Q10570
NP_008937.1	A0A024R6W2
NP_008937.1	O43809
NP_079087.3	Q8N684
NP_004362.2	P53621
NP_057141.1	A0A024RB72
NP_057141.1	P61923
NP_003900.1	A0A024R994
NP_003900.1	O75131
NP_002851.2	P54886
NP_004138.1	Q9Y295
NP_005907.3	A0A0S2Z4A5
NP_005907.3	C6EMX8
NP_005907.3	P33993
NP_008835.5	P78527
NP_005207.2	A0A024RAD5
NP_005207.2	P39656
NP_002941.1	P04843
NP_004936.2	P50570
NP_062538.5	Q5VTR2
NP_001410.2	Q15717
NP_001976.1	P38117
NP_001393.1	P68104
NP_001393.1	Q6IPS9
NP_115754.3	B2RAR6
NP_115754.3	D3DWK1
NP_115754.3	P29692
NP_001395.1	P26641
NP_001395.1	Q53YD7
NP_001407.1	P60842
NP_055555.1	A0A024R8W0
NP_055555.1	P38919
NP_003741.1	Q14152
NP_003744.1	O15371
NP_001559.1	P60228
NP_003676.2	Q92945
NP_004095.4	P49327
NP_002037.2	P04406
NP_002037.2	V9HVZ4
NP_002854.3	P06737
NP_006316.1	P62826
NP_002060.4	P63096
NP_002061.1	B3KP24
NP_002061.1	P04899
NP_006487.1	P08754
NP_005336.3	B3KTT5
NP_005336.3,NP_005337.2	A8K5I0
NP_005336.3,NP_005337.2	P0DMV8
NP_005336.3,NP_005337.2	P0DMV9
NP_005518.3	A0A1U9X7W7
NP_005518.3	P34931
NP_006588.1	P11142
NP_006588.1	Q53HF2
NP_006588.1	V9HW22
NP_004490.2	Q99729
NP_006796.1	Q13151
NP_002127.1	A0A024RB53
NP_002127.1	P09651
NP_919223.1	P51991
NP_002129.2	A0A024RDF4
NP_004957.1	A0A024R7T3
NP_004957.1	P52597
NP_005511.1	P31943
NP_062543.1	P55795
NP_036339.1	A0A024QZK8
NP_036339.1	P31942
NP_036339.1	Q53F48
NP_002131.2	P61978
NP_005959.2	P52272
NP_006363.4	O60506
NP_005817.1	O43390
NP_004492.2	Q00839
NP_002128.1	P22626
NP_004491.2	P07910
NP_005507.3	A8K8M6
NP_005507.3	O19682
NP_005507.3	P13747
